customer_id,date,price,quantity
2733,2023-10-07 13:44:44,419.79,1
2608,2023-03-09 02:15:40,174.77,9
1654,2023-09-24 08:34:24,464.57,4
3265,2023-05-31 18:08:12,355.88,2
4932,2024-03-05 17:19:31,335.13,8
4860,2023-11-28 03:59:49,346.96,2
1034,2024-05-25 04:09:36,431.3,7
4374,2023-03-31 22:28:14,110.55,6
3469,2023-03-04 20:15:02,140.95,2
706,2023-11-23 18:48:01,498.42,3
2600,2023-04-29 19:12:58,26.6,4
2136,2023-12-27 12:57:53,146.7,3
2223,2024-04-08 01:02:29,453.11,2
2898,2023-11-23 11:22:50,60.14,3
1702,2023-12-08 16:17:08,383.18,9
538,2023-01-15 05:21:49,317.56,6
2894,2023-11-19 23:39:28,211.63,1
2164,2023-03-19 00:06:34,94.18,2
4852,2023-10-07 09:42:20,268.05,7
2047,2023-08-11 05:08:19,380.09,9
1872,2024-03-12 14:33:54,234.99,5
2497,2023-03-01 01:03:39,372.27,2
100,2024-01-26 10:15:39,95.96,8
2009,2023-10-18 17:40:54,217.97,4
756,2024-01-30 15:48:25,417.27,3
798,2024-05-22 12:34:59,359.82,5
660,2024-05-07 08:24:18,474.56,6
3220,2023-05-02 15:39:14,336.54,3
424,2023-01-04 19:09:49,324.44,8
3338,2023-02-05 21:14:19,70.09,9
2746,2023-07-16 00:57:03,267.5,7
4736,2024-02-08 03:09:05,367.82,5
545,2024-01-18 07:17:00,398.08,8
715,2023-05-05 07:05:10,57.91,6
2293,2023-12-08 09:28:08,171.06,7
152,2024-01-20 04:17:11,271.65,1
2724,2023-11-05 20:26:04,64.22,3
3532,2024-05-13 11:38:51,467.91,5
2931,2024-02-04 18:29:52,73.46,6
1208,2024-01-06 19:01:53,297.88,7
803,2024-02-29 21:52:36,213.92,3
2177,2024-05-09 01:03:48,106.14,1
2177,2023-12-01 15:37:23,475.95,4
1957,2024-03-07 02:24:04,496.18,6
3623,2024-01-24 13:35:05,426.81,6
3561,2023-12-25 23:42:38,379.94,5
757,2023-01-28 22:22:59,358.81,6
4370,2024-01-15 12:13:52,470.81,3
4485,2023-11-27 21:11:19,14.7,1
1642,2024-04-09 16:11:24,391.61,8
3115,2024-04-20 07:58:11,354.22,8
4985,2023-03-30 01:14:02,89.31,7
4354,2023-12-14 12:35:37,308.05,8
4072,2023-05-04 17:22:59,133.76,4
4010,2024-02-04 13:03:05,15.09,2
2106,2024-04-14 01:44:41,477.39,8
3943,2023-02-22 00:38:38,40.72,4
3192,2023-03-08 18:22:16,49.6,4
431,2024-03-12 00:22:32,447.81,9
4188,2023-05-12 07:32:09,399.17,6
2447,2024-04-09 16:53:46,411.37,5
2660,2023-09-26 10:02:59,70.36,2
1590,2024-01-26 12:34:12,409.01,5
2957,2024-03-02 10:24:21,18.7,4
2682,2023-10-12 23:46:49,441.86,7
4181,2024-03-24 01:09:42,283.09,4
2252,2023-05-29 03:36:19,126.16,1
4421,2024-04-18 22:25:38,217.81,7
4871,2023-09-11 13:18:55,152.78,5
1072,2023-12-19 08:37:25,346.5,7
4736,2024-04-17 05:14:12,114.25,3
1205,2024-04-04 05:07:47,166.93,2
3919,2023-05-19 17:53:22,230.38,1
1168,2023-12-27 18:46:08,166.53,4
1685,2024-04-25 16:32:34,373.55,6
3300,2023-10-13 15:42:54,125.64,8
2768,2024-01-22 03:28:31,222.1,5
2958,2024-01-25 01:00:26,132.38,2
4470,2023-02-20 17:23:41,169.29,9
561,2023-05-10 10:12:51,109.89,5
1606,2023-10-18 22:59:14,344.93,4
1473,2024-02-21 09:26:03,295.38,1
3679,2023-04-14 10:35:47,271.95,6
257,2023-12-09 16:14:03,412.08,8
3763,2024-03-25 19:29:03,220.22,6
1955,2023-04-14 04:43:12,83.96,9
817,2023-02-01 11:23:32,284.17,1
2436,2023-02-25 04:11:18,375.34,1
1635,2023-06-07 00:30:49,157.76,6
974,2024-03-10 11:42:16,183.02,7
4465,2023-03-28 23:34:53,224.93,7
2024,2023-10-18 08:26:02,421.37,5
2966,2023-07-03 04:39:29,74.26,5
202,2023-11-27 19:47:51,71.81,7
2432,2023-04-08 02:06:13,445.09,8
2419,2023-08-02 16:24:49,217.6,6
4652,2024-05-08 17:15:19,257.97,9
3456,2024-04-19 12:43:12,397.78,5
4227,2023-05-14 11:03:03,487.26,4
932,2023-06-04 07:58:28,464.02,3
1988,2023-10-14 03:29:38,389.62,1
2788,2023-09-18 16:51:46,10.32,8
4306,2023-10-26 16:32:54,145.32,1
2611,2023-08-06 06:26:35,174.36,9
4183,2024-05-09 07:46:22,42.41,7
4969,2023-04-02 21:24:36,336.68,9
2060,2023-11-05 22:35:21,413.54,4
308,2023-05-21 21:51:28,387.77,8
1153,2023-08-25 22:37:57,354.15,4
276,2023-09-11 12:32:47,21.41,6
1209,2023-11-16 03:41:16,69.07,8
2493,2024-01-15 13:41:01,123.68,8
2537,2023-03-09 17:13:41,144.9,1
638,2024-03-02 01:24:43,117.7,5
771,2023-09-18 08:20:34,92.19,4
95,2023-12-21 17:39:49,327.31,8
3299,2024-03-21 20:39:15,108.42,1
2345,2024-02-01 08:47:50,285.7,6
3092,2023-12-14 04:20:00,352.48,6
4704,2023-05-01 13:52:47,430.24,4
